category	local_path	upstream	branch	head	clone_mode	lfs	submodules	size_bytes	official_verification	purpose
p0-hands-on	third_party/repos/p0-hands-on/cuda-samples	https://github.com/NVIDIA/cuda-samples.git	master	b7c5481c556c3fe98db060207ecaa41a4b9a9abc	shallow-depth-1	smudge-skipped	none	321771933	head-match@2026-08-19	CUDA 环境与 streams/events/graphs 示例
p0-hands-on	third_party/repos/p0-hands-on/TensorRT	https://github.com/NVIDIA/TensorRT.git	main	10d15ae2f3b21437caf8248ba317cf76e0c0ebcb	shallow-depth-1	smudge-skipped	not-initialized:3	303117358	head-match@2026-08-19	TensorRT samples、parser 与 Plugin
p0-hands-on	third_party/repos/p0-hands-on/DeepStream	https://github.com/NVIDIA/DeepStream.git	main	c0b76f991f46de0291dd62ae7aaa66690b514a5d	shallow-depth-1	smudge-skipped	not-initialized:4	160311432	head-match@2026-08-19	DeepStream 9.x 主仓库
p0-hands-on	third_party/repos/p0-hands-on/deepstream_reference_apps	https://github.com/NVIDIA-AI-IOT/deepstream_reference_apps.git	master	9946965e8adb1aa93b1b66983ec4196351c9190c	shallow-depth-1	smudge-skipped	none	153600840	head-match@2026-08-19	历史 parallel inference 参考
p0-hands-on	third_party/repos/p0-hands-on/TensorRT-Edge-LLM	https://github.com/NVIDIA/TensorRT-Edge-LLM.git	main	bb291453bc10d9bd1142070c605e090d4e483ee2	shallow-depth-1	smudge-skipped	not-initialized:3	46262711	head-match@2026-08-19	Orin LLM/VLM runtime
p0-hands-on	third_party/repos/p0-hands-on/triton-server	https://github.com/triton-inference-server/server.git	main	359f3ac3ab1b7b1f294bd518873ba648400bd69c	shallow-depth-1	smudge-skipped	none	26478721	head-match@2026-08-19	Triton Server 核心与文档
p0-hands-on	third_party/repos/p0-hands-on/triton-tutorials	https://github.com/triton-inference-server/tutorials.git	main	ff1095a26eedf5005cd9a1e9e4e555cbe8065b0d	shallow-depth-1	smudge-skipped	none	18292097	head-match@2026-08-19	Triton 入门与并发教程
p1-tooling	third_party/repos/p1-tooling/Model-Optimizer	https://github.com/NVIDIA/Model-Optimizer.git	main	d32c2c2a56927b4d5b40f1a3e678f7e33632bc0a	shallow-depth-1	smudge-skipped	not-initialized:1	46879641	head-match@2026-08-19	量化与模型优化
p1-tooling	third_party/repos/p1-tooling/CUDALibrarySamples	https://github.com/NVIDIA/CUDALibrarySamples.git	main	34377293fb148e90aad16fd762fa2445f941be55	shallow-depth-1	smudge-skipped	none	167516484	head-match@2026-08-19	CUDA libraries 示例
p1-tooling	third_party/repos/p1-tooling/perf_analyzer	https://github.com/triton-inference-server/perf_analyzer.git	main	ee73c4c1ab1eb0e891338a93a1b245307c4d307a	shallow-depth-1	smudge-skipped	none	13734901	head-match@2026-08-19	推理服务并发压测
p1-tooling	third_party/repos/p1-tooling/model_analyzer	https://github.com/triton-inference-server/model_analyzer.git	main	08df74c82e664207701ad71c02a99107285a4638	shallow-depth-1	smudge-skipped	none	13965847	head-match@2026-08-19	Triton 配置搜索
p1-tooling	third_party/repos/p1-tooling/jetson-containers	https://github.com/dusty-nv/jetson-containers.git	master	70c149aea6126594153ef7690ec4890f8f396518	shallow-depth-1	smudge-skipped	none	61552672	head-match@2026-08-19	Jetson 容器构建与运行
p1-tooling	third_party/repos/p1-tooling/jetson_stats	https://github.com/rbonghi/jetson_stats.git	master	19e2288d03eedb385abca8ae2bc625fdccd1eb40	shallow-depth-1	smudge-skipped	none	6064486	head-match@2026-08-19	Jetson 开发期监控
p1-tooling	third_party/repos/p1-tooling/Lidar_AI_Solution	https://github.com/NVIDIA-AI-IOT/Lidar_AI_Solution.git	master	7c1623f234d5a9794fd862c9456f68f87ae7b900	shallow-depth-1	smudge-skipped	not-initialized:6	484809986	head-match@2026-08-19	复杂 CV/CUDA 工程参考
p2-source-study	third_party/repos/p2-source-study/vllm	https://github.com/vllm-project/vllm.git	main	92bdee05cb4ea5e94c4cce3eb0544f51d6eece8d	shallow-depth-1	smudge-skipped	none	149651025	head-match@2026-08-19	scheduler、PagedAttention 与 KV Cache
p2-source-study	third_party/repos/p2-source-study/TensorRT-LLM	https://github.com/NVIDIA/TensorRT-LLM.git	main	2c1be7d52fab99e5221917b08ab00365129f4436	shallow-depth-1	smudge-skipped	none	290066569	head-match@2026-08-19	executor、inflight batching 与 KV manager
p2-source-study	third_party/repos/p2-source-study/cutlass	https://github.com/NVIDIA/cutlass.git	main	6c68991985ca8b09594ac6fd43abbfd5830c4140	shallow-depth-1	smudge-skipped	none	211289855	head-match@2026-08-19	GEMM、CuTe 与高性能 kernel
p2-source-study	third_party/repos/p2-source-study/sglang	https://github.com/sgl-project/sglang.git	main	e3445ed2bda12c878b234a1b77be68b87c619679	shallow-depth-1	smudge-skipped	none	138498532	head-match@2026-08-19	Serving、scheduler 与 prefix cache
community	third_party/repos/community/lyy-ai_infra	https://github.com/lyy-ai/ai_infra.git	main	a594decead3be68ddf88483974045a8f0ea45b14	shallow-depth-1	smudge-skipped	none	17494852	head-match@2026-08-19	中文 AI Infra 课程地图
